meterName;armSkuName;tier;size;family;MemoryPreservingMaintenanceSupported;HyperVGenerations;CpuArchitectureType;LowPriorityCapable;PremiumIO;ACUs;EphemeralOSDiskSupported;EncryptionAtHostSupported;CapacityReservationSupported;AcceleratedNetworkingEnabled;RdmaEnabled;MaxNetworkInterfaces;UltraSSDAvailable;unit;os;unitPricePerUnit
EC96ads_v5 Low Priority;Standard_EC96ads_v5;Standard;EC96ads_v5;standardECADSv5Family;TRUE;V1,V2;x64;TRUE;TRUE;230;TRUE;TRUE;TRUE;FALSE;FALSE;8;TRUE;10;Linux;1,079
D64 v5 Low Priority;Standard_D64_v5;Standard;D64_v5;standardDv5Family;TRUE;V1,V2;x64;TRUE;FALSE;null;FALSE;TRUE;TRUE;TRUE;FALSE;8;TRUE;100;Windows;0,49517
D48ps v5 Low Priority;Standard_D48ps_v5;Standard;D48ps_v5;standardDPSv5Family;TRUE;V2;Arm64;TRUE;TRUE;null;FALSE;TRUE;FALSE;TRUE;FALSE;8;TRUE;1;Windows;1,209
D4 v2/DS4 v2 Low Priority;Standard_D4_v2;Standard;D4_v2;standardDv2Family;TRUE;V1;x64;TRUE;FALSE;210;FALSE;FALSE;TRUE;TRUE;FALSE;8;null;10;Windows;0,078
D48ds v4;Standard_D48ds_v4;Standard;D48ds_v4;standardDDSv4Family;TRUE;V1,V2;x64;TRUE;TRUE;195;TRUE;TRUE;TRUE;TRUE;FALSE;8;TRUE;10;Linux;2,2048
E4-2ds v4 Low Priority;Standard_E4-2ds_v4;Standard;E4-2ds_v4;standardEDSv4Family;TRUE;V1,V2;x64;TRUE;TRUE;195;TRUE;TRUE;TRUE;TRUE;FALSE;2;TRUE;1000;Windows;0,140205
L16s v2 Low Priority;Standard_L16s_v2;Standard;L16s_v2;standardLSv2Family;FALSE;V1,V2;x64;TRUE;TRUE;null;TRUE;TRUE;FALSE;TRUE;FALSE;4;TRUE;100;Windows;0,58357
E16-8as v5 Low Priority;Standard_E16-8as_v5;Standard;E16-8as_v5;standardEASv5Family;TRUE;V1,V2;x64;TRUE;TRUE;230;FALSE;TRUE;TRUE;TRUE;FALSE;8;TRUE;100;Linux;0,13962
E4pds v5;Standard_E4pds_v5;Standard;E4pds_v5;standardEPDSv5Family;TRUE;V2;Arm64;FALSE;TRUE;null;TRUE;TRUE;FALSE;TRUE;FALSE;2;TRUE;1;Windows;0,299
E2ads v5 Low Priority;Standard_E2ads_v5;Standard;E2ads_v5;standardEADSv5Family;TRUE;V1,V2;x64;TRUE;TRUE;230;TRUE;TRUE;TRUE;TRUE;FALSE;2;TRUE;1000;Linux;0,020436
DC48ads v5 Low Priority;Standard_DC48ads_v5;Standard;DC48ads_v5;standardDCADSv5Family;TRUE;V1,V2;x64;TRUE;TRUE;230;TRUE;TRUE;FALSE;FALSE;FALSE;8;TRUE;100;Windows;1,50007
D64ps v5 Low Priority;Standard_D64ps_v5;Standard;D64ps_v5;standardDPSv5Family;TRUE;V2;Arm64;TRUE;TRUE;null;FALSE;TRUE;FALSE;TRUE;FALSE;8;TRUE;1;Windows;1,599
B20ms;Standard_B20ms;Standard;B20ms;standardBSFamily;TRUE;V1,V2;x64;FALSE;TRUE;null;TRUE;TRUE;TRUE;TRUE;FALSE;8;TRUE;10;Windows;0,741
E32d v5;Standard_E32d_v5;Standard;E32d_v5;standardEDv5Family;TRUE;V1,V2;x64;TRUE;FALSE;null;TRUE;TRUE;TRUE;TRUE;FALSE;8;TRUE;10;Windows;2,8067
M64ms_v2 Low Priority;Standard_M64ms_v2;Standard;M64ms_v2;standardMSMediumMemoryv2Family;FALSE;V2;x64;TRUE;TRUE;null;FALSE;TRUE;FALSE;TRUE;FALSE;8;TRUE;10;Linux;1,8187
DC24ds_v3;Standard_DC24ds_v3;Standard;DC24ds_v3;standardDDCSv3Family;TRUE;V2;x64;TRUE;TRUE;null;TRUE;TRUE;FALSE;TRUE;FALSE;8;FALSE;10;Linux;2,2048
D8 v4;Standard_D8_v4;Standard;D8_v4;standardDv4Family;TRUE;V1,V2;x64;TRUE;FALSE;195;FALSE;FALSE;TRUE;TRUE;FALSE;4;null;100;Windows;0,56355
E2pds v5;Standard_E2pds_v5;Standard;E2pds_v5;standardEPDSv5Family;TRUE;V2;Arm64;FALSE;TRUE;null;TRUE;TRUE;FALSE;TRUE;FALSE;2;TRUE;100;Linux;0,0897
E16ads v5 Low Priority;Standard_E16ads_v5;Standard;E16ads_v5;standardEADSv5Family;TRUE;V1,V2;x64;TRUE;TRUE;230;TRUE;TRUE;TRUE;TRUE;FALSE;8;TRUE;100;Linux;0,16367
E96ds v5 Low Priority;Standard_E96ds_v5;Standard;E96ds_v5;standardEDSv5Family;TRUE;V1,V2;x64;TRUE;TRUE;null;TRUE;TRUE;TRUE;TRUE;FALSE;8;TRUE;10;Windows;3,3683
F2/F2s;Standard_F2;Standard;F2;standardFFamily;TRUE;V1;x64;TRUE;FALSE;210;FALSE;FALSE;TRUE;TRUE;FALSE;2;null;10;Windows;0,1495
D48s v5 Low Priority;Standard_D48s_v5;Standard;D48s_v5;standardDSv5Family;TRUE;V1,V2;x64;TRUE;TRUE;null;FALSE;TRUE;TRUE;TRUE;FALSE;8;TRUE;100;Windows;1,35239
M128 Low Priority;Standard_M128;Standard;M128;standardMSFamily;FALSE;V1,V2;x64;TRUE;TRUE;160;TRUE;TRUE;FALSE;TRUE;FALSE;8;TRUE;10;Windows;6,4168
